1,2,3,trial_num,map,A,B,C,unique_id,wrong_attempts
0.44,0.72,-1,8,UN_NX_0,0,0.81,0.49,CfG9jbo,0
-1,-1,-1,9,ND_UN_0,0.46,0.46,0.46,CfG9jbo,0
0.49,0.5,-1,10,UN_UN_0,0.51,0.51,0.52,CfG9jbo,0
0,0.9,0,11,NX_UN_0,0.54,0.82,0,CfG9jbo,0
0,0.98,0,12,PX_UN_0,0.51,0.51,0.52,CfG9jbo,0
0.5,0.42,0.21,13,PX_PX_0,0.51,0.51,0.51,CfG9jbo,0
-1,-1,-1,14,ND_PX_0,0.48,0.48,0,CfG9jbo,0
0.47,0.49,0.46,15,NX_DX_0,0.31,0.32,0.76,CfG9jbo,0
-1,-1,-1,16,ND_NX_1,0,1,0.03,CfG9jbo,0
-1,-1,-1,17,ND_NX_0,0.52,0.24,0.54,CfG9jbo,0
0.81,0.25,-1,18,DX_DX_0,0.23,0.24,0.68,CfG9jbo,0
0.73,0.76,0.01,19,NX_PX_0,0.49,0.06,0.58,CfG9jbo,0
-1,-1,-1,20,ND_DX_0,0.77,0.05,0.35,CfG9jbo,0
0.47,0.84,0.19,21,PX_NX_0,0.34,0.56,0.15,CfG9jbo,0
-1,-1,-1,22,ND_DX_1,0.46,0.78,0.13,CfG9jbo,0
-1,-1,-1,23,ND_PX_1,0.63,0.64,0.18,CfG9jbo,0
0.5,0.5,0,1,PX_PX_0,0.62,0,0.64,ZfwvyKm,0
0.49,0.49,0,2,NX_PX_0,0.71,0,0.7,ZfwvyKm,0
0.48,0.48,-1,3,UN_PX_0,0.48,0,0.49,ZfwvyKm,0
0.49,0,0.49,4,NX_DX_0,0,0,1,ZfwvyKm,0
0.48,0,0.48,5,PX_UN_0,0.49,0.5,0.51,ZfwvyKm,0
0.5,0.5,-1,6,UN_NX_0,0,0.48,0.5,ZfwvyKm,0
-1,-1,-1,7,ND_PX_0,0.56,0,0.44,ZfwvyKm,0
0,0.48,0.47,8,NX_NX_0,0.45,0,0.48,ZfwvyKm,0
-1,-1,-1,9,ND_DX_1,1,0,0,ZfwvyKm,0
-1,-1,-1,10,ND_NX_1,0.47,0,0.47,ZfwvyKm,0
0.5,0.5,-1,11,UN_UN_0,0.47,0.47,0.47,ZfwvyKm,0
0.5,0.5,0,12,PX_NX_0,0.45,0.46,0,ZfwvyKm,0
-1,-1,-1,13,ND_NX_0,0.5,0,0.5,ZfwvyKm,0
-1,-1,-1,14,ND_DX_0,0.83,0,0.1,ZfwvyKm,0
0.5,0.49,-1,15,UN_DX_0,0,0,1,ZfwvyKm,0
1,0,-1,16,DX_UN_0,0.48,0.49,0.49,ZfwvyKm,0
0.49,0.49,0,17,NX_UN_0,0.49,0.49,0.5,ZfwvyKm,0
1,0,-1,18,DX_NX_0,0.49,0,0.49,ZfwvyKm,0
1,0,-1,19,DX_DX_0,0,0,1,ZfwvyKm,0
-1,-1,-1,20,ND_PX_1,0.36,0.62,0,ZfwvyKm,0
-1,-1,-1,21,ND_UN_0,0.45,0.47,0.48,ZfwvyKm,0
0,1,-1,22,DX_PX_0,0.48,0.55,0,ZfwvyKm,0
0.18,0,0.77,23,PX_DX_0,0,0,1,ZfwvyKm,0
-1,-1,-1,1,ND_NX_0,0.43,0.04,0.43,BkSLxiK,0
0,0.51,0.5,2,NX_NX_0,0.53,0,0.53,BkSLxiK,0
0.52,0.54,0,3,NX_UN_0,0.48,0.65,0.32,BkSLxiK,0
-1,-1,-1,4,ND_NX_1,0.88,0,0.14,BkSLxiK,0
0.99,0,-1,5,DX_UN_0,0.42,0.45,0.41,BkSLxiK,0
0.4,0.41,0.39,6,PX_UN_0,0.31,0.32,0.3,BkSLxiK,0
0.47,0.47,-1,7,UN_PX_0,0.52,0,0.55,BkSLxiK,0
0.25,0.28,0,8,PX_DX_0,0,0,1,BkSLxiK,0
-1,-1,-1,9,ND_PX_1,0.55,0.55,0,BkSLxiK,0
-1,-1,-1,10,ND_UN_0,0.3,0.28,0.28,BkSLxiK,0
0.49,0.49,-1,11,UN_UN_0,0.5,0.53,0.51,BkSLxiK,0
0.51,0.5,-1,12,UN_DX_0,0,0,1,BkSLxiK,0
-1,-1,-1,13,ND_PX_0,0.75,0,0.14,BkSLxiK,0
0.01,0.5,0.51,14,PX_PX_0,0.52,0,0.53,BkSLxiK,0
0.45,0.45,0,15,PX_NX_0,0.51,0.5,0.35,BkSLxiK,0
0.47,0.47,-1,16,DX_NX_0,0.56,0,0.41,BkSLxiK,0
0.47,0.47,0.48,17,NX_PX_0,0,0,0.98,BkSLxiK,0
0.38,0.44,0,18,NX_DX_0,0.19,0,0.9,BkSLxiK,0
-1,-1,-1,19,ND_DX_1,0.99,0,0,BkSLxiK,0
0.49,0.44,-1,20,DX_PX_0,0.44,0.52,0,BkSLxiK,0
-1,-1,-1,21,ND_DX_0,1,0,0,BkSLxiK,0
0.41,0.38,-1,22,UN_NX_0,0,0.49,0.45,BkSLxiK,0
1,0,-1,23,DX_DX_0,0,0.01,1,BkSLxiK,0
0.47,0.47,-1,1,UN_DX_0,0.55,0.4,0.8,5Ui4CIM,2
0.39,0.55,0.72,2,PX_PX_0,0.64,0.38,0.85,5Ui4CIM,2
-1,-1,-1,3,ND_DX_1,0.4,0.66,0.42,5Ui4CIM,2
0.62,0.54,-1,4,DX_NX_0,0.67,0.67,0.81,5Ui4CIM,2
-1,-1,-1,5,ND_PX_1,0.77,0.77,0.43,5Ui4CIM,2
0.34,0.72,0.57,6,NX_NX_0,0.71,0.34,0.71,5Ui4CIM,2
0.58,0.72,-1,7,DX_DX_0,0.5,0.5,0.71,5Ui4CIM,2
-1,-1,-1,8,ND_NX_0,0.74,0.52,0.77,5Ui4CIM,2
0.75,0.47,0.47,9,PX_UN_0,0.55,0.73,0.54,5Ui4CIM,2
-1,-1,-1,10,ND_PX_0,0.71,0.72,0.38,5Ui4CIM,2
0.62,0.63,-1,11,UN_NX_0,0.37,0.72,0.72,5Ui4CIM,2
-1,-1,-1,12,ND_NX_1,0.58,0.74,0.42,5Ui4CIM,2
0.46,0.46,-1,13,DX_PX_0,0.48,0.62,0.34,5Ui4CIM,2
0.44,0.44,-1,14,DX_UN_0,0.49,0.54,0.48,5Ui4CIM,2
0.55,0.51,0.34,15,NX_UN_0,0.49,0.6,0.31,5Ui4CIM,2
-1,-1,-1,16,ND_DX_0,0.61,0.38,0.35,5Ui4CIM,2
0.46,0.27,0.71,17,NX_DX_0,0.52,0.53,0.55,5Ui4CIM,2
-1,-1,-1,18,ND_UN_0,0.39,0.4,0.74,5Ui4CIM,2
0.36,0.36,-1,19,UN_UN_0,0.68,0.57,0.58,5Ui4CIM,2
0.43,0.24,0.63,20,PX_DX_0,0.36,0.36,0.72,5Ui4CIM,2
0.35,0.33,-1,21,UN_PX_0,0.65,0.4,0.67,5Ui4CIM,2
0.6,0.46,0.36,22,PX_NX_0,0.55,0.57,0.36,5Ui4CIM,2
0.73,0.7,0.35,23,NX_PX_0,0.45,0.39,0.47,5Ui4CIM,2
0.03,0.96,0.04,1,PX_UN_0,0.03,0.97,0.03,Z5zyUlb,1
0.97,0.03,0.02,2,NX_PX_0,0.02,0.03,0.95,Z5zyUlb,1
0.72,0.76,-1,3,UN_PX_0,0.6,0.03,0.67,Z5zyUlb,1
0.71,0.72,0.04,4,NX_UN_0,0.7,0.73,0.7,Z5zyUlb,1
-1,-1,-1,5,ND_DX_0,0.95,0.05,0.04,Z5zyUlb,1
-1,-1,-1,6,ND_NX_1,0.95,0.01,0.01,Z5zyUlb,1
0.03,0.03,0.96,7,PX_DX_0,0.02,0,0.97,Z5zyUlb,1
0.68,0.67,0.02,8,PX_PX_0,0.02,0.02,0.96,Z5zyUlb,1
0.68,0.68,-1,9,DX_UN_0,0.73,0.02,0.74,Z5zyUlb,1
-1,-1,-1,10,ND_UN_0,0.65,0.66,0.65,Z5zyUlb,1
0.68,0.67,-1,11,UN_UN_0,0.66,0.66,0.65,Z5zyUlb,1
-1,-1,-1,12,ND_NX_0,0.77,0,0.71,Z5zyUlb,1
-1,-1,-1,13,ND_DX_1,0.96,0.03,0.01,Z5zyUlb,1
0.71,0.74,0.05,14,NX_DX_0,0.03,0.03,0.96,Z5zyUlb,1
