MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21
11,11,70,0.0025761016287844767,16,27,38,49,60,71,70,69,68,79,90,79,80,81,70,71,60,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,71,70,69,80,79,90,79,68,57,46,35,36,25,26,27,16,5
11,11,70,0.00036836072208395153,16,27,38,49,60,59,70,81,80,79,90,91,80,69,70,71,60,49,38,27,16,5
11,11,70,0.0003223156318234576,16,27,38,37,48,59,70,81,80,91,90,79,68,57,58,59,48,37,38,27,16,5
11,11,70,0.00033200933503619315,16,27,38,49,48,59,70,81,80,79,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.0003635138704775837,16,27,38,37,48,59,70,69,80,79,90,79,68,57,46,35,36,25,26,27,16,5
11,11,70,0.0010226856889436022,16,27,38,49,48,59,70,69,80,79,90,91,92,81,70,71,60,49,38,27,16,5
11,11,70,0.0010590370759913606,16,27,38,49,60,59,70,69,68,79,90,91,80,69,70,71,60,49,38,27,16,5
11,11,70,0.00037563099949350316,16,27,38,49,48,59,70,81,92,91,90,91,92,81,70,59,60,49,38,27,16,5
11,11,70,0.0011196227210709577,16,27,26,37,48,59,70,69,68,79,90,91,80,69,70,71,60,49,38,27,16,5
11,11,70,0.0011026587404486705,16,27,38,49,60,59,70,81,80,91,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.00033200933503619315,16,27,38,49,60,71,70,81,80,91,90,79,68,57,58,47,48,49,38,27,16,5
11,11,70,0.00036109044467439984,16,27,38,49,60,59,70,81,80,91,90,91,80,69,58,59,60,49,38,27,16,5
11,11,70,0.0007294511667583514,16,27,38,49,60,59,70,69,68,79,90,79,68,57,46,35,24,25,26,27,16,5
11,11,70,0.0003635138704775837,16,27,38,37,48,59,70,81,92,91,90,91,80,81,70,59,48,37,26,27,16,5
11,11,70,0.0015194879785963,16,27,38,49,60,71,70,69,68,79,90,91,80,81,70,71,60,49,38,27,16,5
11,11,70,0.00035866701887121596,16,27,38,37,48,59,70,69,68,79,90,91,80,81,70,59,60,49,38,27,16,5
