MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,46,0.0008019576296572535,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,3,3,1,3,1,3,3
11,11,46,0.0011619651328903214,2,2,2,2,0,0,0,0,2,2,2,3,1,1,1,3,1,3,3,3,3,3,3
11,11,46,0.002856199127517703,2,0,2,2,0,2,0,0,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3
11,11,46,0.001206766311541551,2,2,0,0,2,2,0,0,2,2,2,1,1,3,1,3,3,1,3,3,3,3,3
11,11,46,0.002945636166817759,2,0,2,0,2,2,0,0,2,2,2,1,1,3,1,3,1,3,3,3,3,3,3
11,11,46,0.00013363205194247504,2,2,0,2,0,2,0,0,2,2,2,1,1,1,3,3,3,1,3,3,3,3,3
11,11,46,0.00027007450992580213,2,2,2,0,2,0,0,0,2,2,2,3,1,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0012884885107294643,2,0,2,2,0,2,0,0,2,2,2,1,1,3,1,3,1,3,3,3,3,3,3
11,11,46,0.000979619376239744,2,2,2,0,0,2,0,0,2,2,2,3,3,3,1,1,1,3,3,3,1,3,3
11,11,46,0.0016960524926538133,2,2,0,2,2,0,0,0,2,2,2,1,1,1,1,3,3,3,3,3,3,3,3
11,11,46,0.0005328199217450686,2,0,2,2,0,2,0,0,2,2,2,3,3,3,1,1,3,3,1,3,1,3,3
11,11,46,0.00031460015857302684,2,2,2,0,0,2,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.10012760345545553,3,3,0,0,3,3,3,3,3,2,2,2,2,2,2,1,1,2,2
11,11,46,0.00040629654390592524,2,2,2,2,0,0,0,0,2,2,2,3,1,1,1,3,3,3,1,3,3,3,3
11,11,46,0.0005810927784467625,2,2,0,0,2,2,0,0,2,2,2,1,1,3,1,3,3,3,3,3,1,3,3
11,11,46,0.011663570811541634,2,0,0,2,2,2,0,0,2,2,2,1,1,3,1,1,3,3,3,3,3,3,3
11,11,46,0.0010286637169526526,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,1,3,1,3,3,3,3
11,11,46,0.0012516225961935817,2,0,2,2,2,0,0,0,2,2,2,3,1,1,1,3,1,3,3,3,3,3,3
11,11,46,0.001246773268123092,2,2,2,0,0,2,0,0,2,2,2,1,3,1,1,3,3,1,3,3,3,3,3
11,11,46,0.01207096947546356,2,0,0,2,2,2,0,0,2,2,2,3,1,1,1,3,1,3,3,3,3,3,3
11,11,46,0.0004453115924730477,2,0,2,2,0,2,0,0,2,2,2,1,1,3,1,3,3,3,1,3,3,3,3
11,11,46,4.535223865923998e-05,2,2,2,2,0,0,0,0,2,2,2,1,1,1,3,3,3,3,3,1,3,3,3
11,11,46,0.0008912844569557082,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,3,3,3,1,1,3,3
11,11,46,0.0025897065076439666,2,0,2,2,2,0,0,0,2,2,2,1,3,1,1,1,3,3,3,3,3,3,3
11,11,46,0.011327920160662613,2,0,2,0,2,2,0,0,2,2,2,1,3,1,1,1,3,3,3,3,3,3,3
