MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20
11,11,70,0.00036351387047758453,3,3,3,3,0,3,0,3,3,0,1,2,1,2,1,2,2,2,2,2,2
11,11,70,0.002178659797062323,3,3,3,0,3,3,3,0,0,3,1,1,2,1,2,2,2,2,2,2,2
11,11,70,0.00036109044467440065,3,3,3,3,0,3,3,3,0,0,1,2,1,2,2,2,2,1,2,2,2
11,11,70,0.00036351387047758453,3,0,3,3,3,3,0,3,3,0,2,2,2,1,1,2,2,2,1,2,2
11,11,70,0.0003829012769030557,3,3,3,3,3,0,0,3,0,3,1,2,2,2,1,2,2,2,1,2,2
11,11,70,0.002687579215730942,3,3,3,3,3,0,0,0,3,3,2,1,1,1,2,2,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,0,3,3,3,0,3,0,3,2,2,2,2,2,1,2,1,1,2,2
11,11,70,0.001388622985224373,3,3,3,3,3,0,0,3,3,0,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.0007876133860347666,3,0,3,3,3,3,0,0,3,3,2,2,1,2,1,2,1,2,2,2,2
11,11,70,0.0025954890352099537,3,3,3,3,0,3,3,3,0,0,2,1,1,1,2,2,2,2,2,2,2
11,11,70,0.0011196227210709606,3,3,0,3,3,3,0,0,3,3,2,2,1,2,2,2,1,1,2,2,2
11,11,70,0.00037078414788713627,3,3,3,0,3,3,3,3,0,0,2,2,2,1,2,1,2,2,1,2,2
11,11,70,0.0007706494054124793,3,3,3,0,3,3,3,0,0,3,2,1,2,1,1,2,2,2,2,2,2
11,11,70,0.00036836072208395234,3,3,3,3,3,0,3,0,3,0,2,2,1,2,2,2,2,1,1,2,2
11,11,70,0.0007827665344283987,3,0,3,3,3,3,3,3,0,0,2,1,2,2,2,1,1,2,2,2,2
11,11,70,0.0003950184059189752,3,3,0,3,3,3,3,0,3,0,2,2,1,2,1,2,2,2,1,2,2
11,11,70,0.000399865257525343,3,3,3,0,3,3,3,0,0,3,2,2,1,2,1,1,2,2,2,2,2
11,11,70,0.0006955232055137785,3,3,3,0,3,3,0,3,0,3,2,2,2,1,2,1,1,2,2,2,2
