unique_id,map,entrance,human,model,z_model,model_error,trial_type
XP7Mbjm,UN_NX_0,2,0.7849462365591399,0.529804530966079,0.10822003437412316,0.2551417055930608,UN
XP7Mbjm,NX_NX_0,2,0.6428571428571428,0.518540104326212,0.07807781452492256,0.12431703853093079,NX
XP7Mbjm,NX_PX_0,2,0.22689075630252103,0.488256158380239,-0.0029582990553421503,-0.26136540207771797,NX
XP7Mbjm,DX_DX_0,2,0.9222222222222223,0,-1.309471709736756,0.9222222222222223,DX
XP7Mbjm,DX_UN_0,2,0.13043478260869565,0,-1.309471709736756,0.13043478260869565,DX
XP7Mbjm,NX_DX_0,2,0.03333333333333333,0.537229500440838,0.1280883392099588,-0.5038961671075046,NX
XP7Mbjm,PX_PX_0,2,0.01652892561983471,0.711903124661383,0.595493467889856,-0.6953741990415483,PX
XP7Mbjm,UN_UN_0,2,0.3282442748091603,0.466000000000012,-0.06251304075175114,-0.13775572519085172,UN
XP7Mbjm,PX_NX_0,2,0.07692307692307693,0.166717367323703,-0.8633565456709976,-0.08979429040062606,PX
XP7Mbjm,UN_PX_0,2,0.49,0.516284172837064,0.07204121940254202,-0.026284172837063968,UN
XP7Mbjm,DX_NX_0,2,0.04,0,-1.309471709736756,0.04,DX
XP7Mbjm,PX_UN_0,2,0.3687943262411348,0.194819821560601,-0.7881578355198099,0.1739745046805338,PX
XP7Mbjm,NX_UN_0,2,0.39873417721518983,0.529673590504452,0.1078696538081429,-0.13093941328926212,NX
XP7Mbjm,DX_PX_0,2,0.2796610169491526,0.999999999999999,1.3664052623339984,-0.7203389830508464,DX
XP7Mbjm,PX_DX_0,2,0.1875,0,-1.309471709736756,0.1875,PX
XP7Mbjm,UN_DX_0,2,0.5204081632653061,0.540160725488944,0.1359319368161428,-0.01975256222363786,UN
TLtiiqp,DX_DX_0,2,0.5,0,-1.309471709736756,0.5,DX
TLtiiqp,DX_PX_0,2,0.4895833333333333,0.999999999999999,1.3664052623339984,-0.5104166666666656,DX
TLtiiqp,PX_DX_0,2,0,0,-1.309471709736756,0,PX
TLtiiqp,UN_UN_0,2,0.5,0.466000000000012,-0.06251304075175114,0.033999999999987984,UN
TLtiiqp,UN_NX_0,2,0,0.529804530966079,0.10822003437412316,-0.529804530966079,UN
TLtiiqp,UN_PX_0,2,0.5,0.516284172837064,0.07204121940254202,-0.01628417283706396,UN
TLtiiqp,UN_DX_0,2,0.5,0.540160725488944,0.1359319368161428,-0.040160725488944005,UN
TLtiiqp,PX_NX_0,2,0.5,0.166717367323703,-0.8633565456709976,0.333282632676297,PX
