MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15
11,11,51,0.00032822812359556224,105,95,85,74,62,51,41,30,41,51,61,72,82,94,105,116
11,11,51,0.0017926305211757626,105,95,85,73,63,51,41,30,40,50,61,72,83,95,105,116
11,11,51,0.0031156423424378754,105,95,84,73,63,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00027773148919624496,105,93,83,72,62,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.001090727303025253,105,95,84,74,63,51,41,30,40,50,61,71,82,94,105,116
11,11,51,0.03008589477511323,105,95,85,73,63,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.0007776481697494859,105,93,83,73,63,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.00041407240207440163,105,95,85,74,62,51,41,30,41,52,62,72,83,94,105,116
11,11,51,0.0007826978331894176,105,95,85,74,63,51,41,30,40,51,61,72,84,94,105,116
11,11,51,0.0003080294698358353,105,95,84,72,62,51,41,30,41,51,61,73,83,94,105,116
11,11,51,0.0003736750945549477,105,93,82,72,62,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.0010806279761453894,105,95,84,73,63,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.0006211086031116023,105,95,85,74,63,51,41,30,41,51,61,72,82,94,105,116
11,11,51,0.00041407240207440163,105,93,83,73,62,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.00041912206551433334,105,94,84,74,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0018683754727747387,105,95,85,74,63,51,41,30,40,50,61,73,83,93,105,116
11,11,51,0.0003635757676750843,105,93,83,73,63,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.00037872475799487947,105,95,85,74,63,51,41,30,41,51,63,73,83,94,105,116
11,11,51,0.0021865042694904375,105,95,85,74,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.00035852610423515254,105,95,85,73,63,51,41,30,41,51,61,71,83,94,105,116
11,11,51,0.00035852610423515254,105,95,85,74,63,51,41,30,40,51,62,72,82,93,105,116
11,11,51,0.0024490867683668875,105,95,84,74,63,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.0028682088338812203,105,95,85,74,63,51,41,30,40,50,60,72,84,94,105,116
11,11,51,0.00041407240207440163,105,95,84,73,63,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.0015704453298187669,105,95,85,74,63,51,41,30,40,50,60,71,83,94,105,116
11,11,51,0.002146106961970984,105,95,84,74,63,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.00042417172895426505,105,94,84,74,63,51,41,30,40,52,62,72,83,94,105,116
11,11,51,0.0006564562471911245,105,95,84,74,63,51,41,30,40,51,62,72,83,94,105,116
11,11,51,0.0003080294698358353,105,95,85,73,61,51,41,30,40,50,61,71,81,93,105,116
11,11,51,0.002989400756439582,105,95,85,74,63,51,41,30,40,51,62,72,83,94,105,116
