MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14
11,11,51,0.0006261582665515341,2,5,5,2,4,5,2,6,6,7,6,3,7,6,3
11,11,51,0.0003736750945549477,2,5,4,2,5,5,2,6,6,3,7,6,3,3,3
11,11,51,0.00032822812359556224,5,2,4,5,2,5,2,6,6,7,6,3,3,3,3
11,11,51,0.00041912206551433334,2,5,5,4,2,5,2,3,6,6,3,3,3,3,3
11,11,51,0.0003938737483146747,5,5,2,2,4,5,2,6,6,7,6,6,3,7,3
11,11,51,0.0010301313417460723,4,5,5,4,5,5,2,6,6,3,3,3,3,3,3
11,11,51,0.023319345765604724,5,5,2,2,4,5,2,6,6,3,7,6,3,3,3
11,11,51,0.00041407240207440163,2,5,2,4,5,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0007372508622300322,5,2,5,2,4,2,5,6,6,3,6,7,3,3,3
11,11,51,0.0003383274504754257,2,5,5,2,4,5,2,3,6,6,3,3,6,7,3
11,11,51,0.00037872475799487947,2,5,5,2,4,2,5,6,3,6,3,7,6,3,3
11,11,51,0.00035852610423515254,5,5,2,2,4,5,2,6,7,6,3,6,3,3,3
11,11,51,0.00041912206551433334,2,5,5,4,2,5,2,6,6,3,3,6,7,3,3
11,11,51,0.0003534764407952209,5,5,2,4,2,5,2,6,7,6,6,3,7,6,3
11,11,51,0.00027773148919624496,4,5,2,5,2,5,2,6,3,6,3,3,3,3,3
11,11,51,0.002943953785480196,5,5,4,5,4,5,2,6,6,7,6,3,3,3,3
11,11,51,0.0003484267773552892,5,5,2,2,4,2,5,6,3,6,3,7,6,3,3
11,11,51,0.00029793014295597184,5,4,5,2,2,5,2,6,6,7,6,3,3,3,3
11,11,51,0.0003635757676750843,5,5,4,5,4,5,2,6,3,6,3,7,6,3,3
11,11,51,0.020976301929476387,5,5,2,2,4,5,2,6,6,3,3,7,6,3,3
11,11,51,0.000646356920311261,5,5,4,5,4,5,2,6,7,6,6,3,3,3,3
11,11,51,0.00042417172895426505,5,2,5,2,4,5,2,6,3,7,3,6,6,3,3
11,11,51,0.00041407240207440163,2,5,2,2,2,5,2,6,6,3,3,3,3,3,3
11,11,51,0.00029288047951604013,5,4,5,5,4,5,2,6,6,3,3,3,6,7,3
11,11,51,0.0003736750945549477,5,5,2,4,2,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0010604293223856628,5,5,2,2,4,5,2,3,6,3,6,3,7,6,3
11,11,51,0.000722101871910237,5,2,2,5,4,5,2,6,6,3,7,6,3,3,3
11,11,51,0.0006766549009508514,5,5,2,2,4,2,5,3,6,6,6,7,3,3,3
11,11,51,0.0003635757676750843,5,5,4,5,4,5,2,3,6,6,3,3,6,7,3
11,11,51,0.0003534764407952209,2,5,5,4,2,5,2,6,6,6,7,7,6,3,3
11,11,51,0.0004090227386344699,2,5,2,5,4,5,2,3,3,6,6,6,7,3,3
11,11,51,0.000737250862230032,5,5,2,2,4,5,2,6,6,3,7,3,6,3,3
11,11,51,0.0038478435412279757,5,5,2,2,4,5,2,6,3,6,6,7,3,3,3
11,11,51,0.0003383274504754257,5,5,4,2,2,2,5,6,6,3,3,3,3,3,3
11,11,51,0.0003736750945549477,5,5,2,2,4,2,5,6,6,3,3,7,3,6,3
11,11,51,0.00042417172895426505,5,5,4,2,2,5,2,6,6,3,3,3,7,6,3
11,11,51,0.0034691187832330966,5,5,2,2,4,2,5,6,6,3,6,7,3,3,3
11,11,51,0.00032822812359556224,5,4,2,2,5,5,2,3,6,6,6,7,3,3,3
11,11,51,0.0003484267773552892,5,4,5,4,5,2,5,6,6,3,3,3,3,3,3
11,11,51,0.0003383274504754257,5,5,4,4,5,5,2,6,6,3,7,6,3,3,3
11,11,51,0.0003080294698358353,5,4,5,5,4,5,2,6,6,7,6,3,3,3,3
11,11,51,0.0003383274504754257,5,5,4,2,2,5,2,6,6,3,7,6,3,3,3
11,11,51,0.001333111148141976,2,2,5,5,4,5,2,6,6,6,7,3,3,3,3
11,11,51,0.0006514065837511927,5,5,2,4,2,5,2,6,6,7,3,6,3,3,3
11,11,51,0.001656289608297606,5,5,4,5,4,2,5,6,6,3,3,3,3,3,3
11,11,51,0.0004090227386344699,5,2,5,2,4,5,2,3,6,3,3,6,3,3,3
11,11,51,0.002989400756439582,5,5,2,2,4,5,2,6,3,3,6,3,3,3,3
11,11,51,0.0018936237899743978,2,5,5,2,4,5,2,3,6,6,3,3,3,3,3
11,11,51,0.0006211086031116023,5,5,2,2,4,5,2,3,6,6,3,6,7,3,3
11,11,51,0.0006766549009508512,5,5,4,2,2,5,2,6,6,3,3,7,6,3,3
11,11,51,0.0003484267773552892,5,2,2,4,5,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0003080294698358353,4,4,5,5,5,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0019491700878136466,5,5,2,2,4,5,2,6,3,6,3,6,7,3,3
11,11,51,0.0003484267773552892,5,5,2,4,2,5,2,6,3,6,7,6,7,6,3
11,11,51,0.002827811526361767,2,5,5,2,4,5,2,6,6,3,3,6,7,3,3
11,11,51,0.0017623325405361726,5,5,2,4,2,5,2,6,6,3,3,6,7,3,3
11,11,51,0.00032317846015563053,4,5,4,5,5,5,2,6,6,3,6,7,3,3,3
11,11,51,0.00037872475799487947,5,5,2,2,4,5,2,3,6,3,6,7,6,3,3
11,11,51,0.00037872475799487947,5,2,2,5,4,5,2,3,6,6,3,3,3,3,3
11,11,51,0.0043780582024208065,5,2,5,2,4,5,2,6,6,3,3,7,6,3,3
11,11,51,0.0013129124943822487,5,4,5,5,4,5,2,3,6,6,3,3,3,3,3
11,11,51,0.00042417172895426505,5,4,5,5,4,5,2,6,6,6,7,3,3,3,3
11,11,51,0.0006817045643907831,2,5,5,2,4,5,2,6,6,7,3,6,3,3,3
11,11,51,0.0007776481697494859,4,5,5,5,4,5,2,3,6,6,3,3,3,3,3
11,11,51,0.0003736750945549477,5,2,5,2,4,2,5,6,3,6,3,3,3,3,3
11,11,51,0.00038882408487474294,5,5,2,2,4,2,5,6,6,3,3,6,3,7,3
11,11,51,0.0024995834027662046,2,5,5,4,2,5,2,6,6,3,3,3,3,3,3
11,11,51,0.0007877474966293494,5,5,2,2,4,5,2,3,3,6,6,3,6,7,3
11,11,51,0.0007170522084703053,5,2,5,2,4,5,2,6,6,3,7,3,6,3,3
11,11,51,0.0016562896082976065,5,5,2,4,2,5,2,6,6,3,3,3,6,7,3
11,11,51,0.0003736750945549477,5,2,4,2,5,5,2,6,6,3,7,6,3,3,3
11,11,51,0.00027268182575631325,5,5,4,4,5,5,2,3,6,3,6,3,3,3,3
