unique_id,map,goal,human,model,z_model,model_error,trial_type
PyL19Th,PX_NX_0,A,0.5208333333333334,0.487652950331626,0.4889204370756456,0.03318038300170739,NX
PyL19Th,UN_NX_0,A,0.019801980198019802,9.21581918668366e-4,-1.0531577381541632,0.018880398279351437,NX
PyL19Th,ND_PX_1,A,0,0.23005662061176,-0.32720464517564263,-0.23005662061176,PX
PyL19Th,UN_DX_0,A,0.010204081632653062,0.0012187987817839,-1.052216086007487,0.008985282850869162,DX
PyL19Th,DX_PX_0,A,0,0.165945182940652,-0.5303245902442784,-0.165945182940652,PX
PyL19Th,UN_UN_0,A,0.3352941176470588,0.31522187749845,-0.05738130430277906,0.02007224014860881,UN
PyL19Th,ND_DX_0,A,0.8909090909090909,0.996162176253057,2.0999959298126103,-0.10525308534396616,DX
PyL19Th,NX_NX_0,A,0.5045045045045045,0.479093877420067,0.4618033034909501,0.025410627084437476,NX
PyL19Th,ND_NX_0,A,0.504950495049505,0.510513938328735,0.5613493638766452,-0.005563443279230085,NX
PyL19Th,PX_DX_0,A,0,0.00474099795114431,-1.0410569398739775,-0.00474099795114431,DX
PyL19Th,NX_PX_0,A,0.46808510638297873,0.272121968691989,-0.19393183923450125,0.19596313769098972,PX
PyL19Th,ND_NX_1,A,0.47619047619047616,0.567020244861353,0.7403744847578333,-0.09082976867087689,NX
PyL19Th,ND_PX_0,A,0.5,0.608810896028028,0.8727769869900192,-0.10881089602802796,PX
PyL19Th,NX_DX_0,A,0.04918032786885246,7.23228449521724e-6,-1.0560546104473651,0.04917309558435724,DX
PyL19Th,PX_UN_0,A,0.34265734265734266,0.260922186176621,-0.2294153549992305,0.08173515648072166,UN
PyL19Th,PX_PX_0,A,0.363013698630137,0.170621459008187,-0.5155090600913562,0.19239223962194998,PX
PyL19Th,DX_DX_0,A,0.046296296296296294,0.00327449223943342,-1.0457031710368732,0.04302180405686287,DX
PyL19Th,DX_NX_0,A,0.421875,0.465790794329306,0.41965604233451237,-0.04391579432930598,NX
PyL19Th,UN_PX_0,A,0.5106382978723404,0.677094876561881,1.0891165182645535,-0.16645657868954067,PX
PyL19Th,ND_UN_0,A,0.34375,0.298140097897922,-0.11150035482123893,0.04560990210207799,UN
