trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
14,P1_1,1,0,lzz7Pjm,1
15,D1_2,0.51,0,lzz7Pjm,1
1,D2_0,1,0,9ereCcQ,1
2,P2_1,0.43,0,9ereCcQ,1
3,P1_2,0.67,0,9ereCcQ,1
4,D2_1,0.81,0,9ereCcQ,1
5,P1_1,0.23,0,9ereCcQ,1
6,P1_0,0.14,0,9ereCcQ,1
7,D2_2,0.62,0,9ereCcQ,1
8,D1_1,0.08,0,9ereCcQ,1
9,D1_2,0.11,0,9ereCcQ,1
10,P2_0,0.14,0,9ereCcQ,1
11,D1_0,0.11,0,9ereCcQ,1
12,P2_2,0.12,0,9ereCcQ,1
13,UN_0,0.14,0,9ereCcQ,1
14,UN_1,0.18,0,9ereCcQ,1
15,UN_2,0.06,0,9ereCcQ,1
1,P2_1,0.51,0,CwHdCjA,1
2,UN_0,0.48,0,CwHdCjA,1
3,UN_1,0.5,0,CwHdCjA,1
4,P1_0,0.5,0,CwHdCjA,1
5,D2_1,1,0,CwHdCjA,1
6,P1_1,0.53,0,CwHdCjA,1
7,P1_2,0.49,0,CwHdCjA,1
8,D2_2,1,0,CwHdCjA,1
9,P2_2,0.48,0,CwHdCjA,1
10,D1_0,0,0,CwHdCjA,1
11,D1_1,0,0,CwHdCjA,1
12,UN_2,0.52,0,CwHdCjA,1
13,D2_0,1,0,CwHdCjA,1
14,P2_0,0,0,CwHdCjA,1
15,D1_2,0,0,CwHdCjA,1
1,D2_0,1,0,S5oxPPD,0
2,P1_2,1,0,S5oxPPD,0
3,D1_1,1,0,S5oxPPD,0
4,UN_1,0.69,0,S5oxPPD,0
5,P1_0,0.71,0,S5oxPPD,0
6,UN_2,0.78,0,S5oxPPD,0
7,D1_0,0.58,0,S5oxPPD,0
8,P2_1,0.01,0,S5oxPPD,0
9,P1_1,0.01,0,S5oxPPD,0
10,D2_2,0.76,0,S5oxPPD,0
11,UN_0,0.27,0,S5oxPPD,0
12,D2_1,0.26,0,S5oxPPD,0
13,D1_2,0.62,0,S5oxPPD,0
14,P2_0,0.27,0,S5oxPPD,0
15,P2_2,0.72,0,S5oxPPD,0
1,P1_0,0.97,0,L1Qy8VN,1
2,D1_1,0.95,0,L1Qy8VN,1
3,P2_1,0.47,1,L1Qy8VN,1
4,P1_2,0.96,0,L1Qy8VN,1
5,D1_2,0.04,0,L1Qy8VN,1
6,UN_0,0.49,0,L1Qy8VN,1
7,P2_2,0.97,0,L1Qy8VN,1
8,D1_0,0.02,0,L1Qy8VN,1
9,UN_1,0,0,L1Qy8VN,1
10,D2_2,1,0,L1Qy8VN,1
11,UN_2,0.49,0,L1Qy8VN,1
12,P2_0,0.06,0,L1Qy8VN,1
13,D2_0,0.97,0,L1Qy8VN,1
14,D2_1,0.97,0,L1Qy8VN,1
15,P1_1,0.49,0,L1Qy8VN,1
1,P2_0,0.95,0,XFlfbQE,0
2,UN_2,0.95,0,XFlfbQE,0
3,D1_0,0.97,0,XFlfbQE,0
4,D2_1,0.96,0,XFlfbQE,0
5,D2_0,0.97,0,XFlfbQE,0
6,P1_2,0.99,0,XFlfbQE,0
7,D2_2,0.96,0,XFlfbQE,0
8,D1_2,1,0,XFlfbQE,0
9,P2_1,0.96,0,XFlfbQE,0
10,D1_1,0,0,XFlfbQE,0
