1,2,3,trial_num,map,A,B,C,wrong_objective,unique_id,wrong_attempts,age
0.47,0.46,0,12,NX_UN_0,0.49,0.48,0.47,0,jSz1b6E,1,54
0.49,0.5,0,13,PX_NX_0,0.47,0.47,0,0,jSz1b6E,1,54
0,0.48,0.47,14,NX_NX_0,0.46,0,0.46,0,jSz1b6E,1,54
-1,-1,-1,15,ND_DX_0,0.99,0,0,0,jSz1b6E,1,54
-1,-1,-1,16,ND_PX_1,0.46,0.46,0,0,jSz1b6E,1,54
0.47,0.47,0,17,NX_DX_0,0,0,1,0,jSz1b6E,1,54
-1,-1,-1,18,ND_DX_1,1,0,0,0,jSz1b6E,1,54
0.48,0,0.48,19,PX_DX_0,0,0,1,0,jSz1b6E,1,54
0,1,-1,20,DX_PX_0,0.47,0.47,0,0,jSz1b6E,1,54
-1,-1,-1,21,ND_UN_0,0.48,0.48,0.47,0,jSz1b6E,1,54
0.51,0.52,-1,22,UN_PX_0,0.47,0,0.48,0,jSz1b6E,1,54
0.5,0.5,-1,23,UN_NX_0,0,0.5,0.5,0,jSz1b6E,1,54
0.45,0.46,0.02,1,PX_NX_0,0.44,0.46,0.07,0,OXo50Zy,0,49
-1,-1,-1,2,ND_NX_1,0.6,0.2,0.22,0,OXo50Zy,0,49
1,0.02,-1,3,DX_UN_0,0.49,0.51,0.51,0,OXo50Zy,0,49
0.5,0.51,0.04,4,PX_UN_0,0.45,0.48,0.49,1,OXo50Zy,0,49
0.46,0.48,-1,5,UN_PX_0,0.51,0.02,0.47,0,OXo50Zy,0,49
-1,-1,-1,6,ND_UN_0,0.48,0.49,0.48,0,OXo50Zy,0,49
0.5,0.51,0.5,7,NX_DX_0,0.01,0.02,0.97,0,OXo50Zy,0,49
0.45,0.47,0.48,8,NX_PX_0,0.47,0.03,0.49,0,OXo50Zy,0,49
-1,-1,-1,9,ND_DX_1,0.99,0.01,0.03,0,OXo50Zy,0,49
0.47,0.47,-1,10,DX_DX_0,0.03,0.04,0.98,0,OXo50Zy,0,49
0.98,0.02,-1,11,DX_NX_0,0.54,0.01,0.53,1,OXo50Zy,0,49
0.47,0.47,0.05,12,NX_UN_0,0.46,0.45,0.48,0,OXo50Zy,0,49
-1,-1,-1,13,ND_PX_0,0.49,0.03,0.45,0,OXo50Zy,0,49
0.45,0.5,0.48,14,PX_PX_0,0.53,0.5,0.48,0,OXo50Zy,0,49
0.53,0.5,-1,15,UN_NX_0,0.01,0.52,0.52,0,OXo50Zy,0,49
0.54,0.04,0.52,16,PX_DX_0,0.04,0.05,0.96,0,OXo50Zy,0,49
-1,-1,-1,17,ND_NX_0,0.46,0.01,0.45,0,OXo50Zy,0,49
0.46,0.53,-1,18,UN_DX_0,0.03,0.01,0.99,0,OXo50Zy,0,49
0.54,0.56,-1,19,DX_PX_0,0.47,0.52,0.03,0,OXo50Zy,0,49
0.47,0.49,0.48,20,NX_NX_0,0.53,0.52,0.51,0,OXo50Zy,0,49
0.47,0.51,-1,21,UN_UN_0,0.51,0.5,0.49,0,OXo50Zy,0,49
-1,-1,-1,22,ND_PX_1,0.52,0.48,0.01,0,OXo50Zy,0,49
-1,-1,-1,23,ND_DX_0,0.91,0,0.02,0,OXo50Zy,0,49
0.5,0.52,-1,1,UN_PX_0,0.47,0.01,0.48,0,6bXKpZt,1,31
0.98,0.02,-1,2,DX_UN_0,0.37,0.34,0.37,0,6bXKpZt,1,31
0.03,0.45,0.43,3,PX_PX_0,0.07,0.07,0.97,0,6bXKpZt,1,31
0.42,0.43,0.03,4,NX_UN_0,0.25,0.8,0.22,0,6bXKpZt,1,31
0.02,0.99,-1,5,DX_PX_0,0.09,0.85,0.02,0,6bXKpZt,1,31
0.46,0.44,-1,6,DX_DX_0,0.05,0.09,0.95,0,6bXKpZt,1,31
0.48,0.48,-1,7,UN_DX_0,0.01,0.01,0.99,0,6bXKpZt,1,31
-1,-1,-1,8,ND_DX_0,0.99,0.01,0.02,0,6bXKpZt,1,31
-1,-1,-1,9,ND_PX_0,0.77,0.02,0.4,0,6bXKpZt,1,31
-1,-1,-1,10,ND_NX_0,0.44,0.02,0.42,0,6bXKpZt,1,31
-1,-1,-1,11,ND_DX_1,0.08,0.73,0.02,0,6bXKpZt,1,31
-1,-1,-1,12,ND_NX_1,0.26,0.27,0.21,0,6bXKpZt,1,31
0.5,0.51,-1,13,UN_UN_0,0.33,0.34,0.34,0,6bXKpZt,1,31
0.23,0.03,0.9,14,PX_DX_0,0,0.03,0.94,0,6bXKpZt,1,31
0.88,0.02,-1,15,DX_NX_0,0.46,0,0.49,0,6bXKpZt,1,31
-1,-1,-1,16,ND_UN_0,0.31,0.31,0.31,0,6bXKpZt,1,31
0.45,0.27,0.01,17,PX_NX_0,0.16,0.71,0.09,0,6bXKpZt,1,31
0.99,0.01,0.02,18,PX_UN_0,0.27,0.28,0.29,0,6bXKpZt,1,31
0.52,0.51,-1,19,UN_NX_0,0.02,0.41,0.41,0,6bXKpZt,1,31
0.41,0.44,0,20,NX_PX_0,0.5,0.02,0.54,0,6bXKpZt,1,31
0,0.4,0.41,21,NX_NX_0,0.08,0.01,0.9,0,6bXKpZt,1,31
0.37,0.38,0.02,22,NX_DX_0,0.01,0.03,0.98,0,6bXKpZt,1,31
-1,-1,-1,23,ND_PX_1,0.02,0.98,0,0,6bXKpZt,1,31
0.81,0.32,0.09,1,NX_DX_0,0.04,0.45,0.83,0,OmeOm0v,1,31
0.28,0.74,0.26,2,NX_PX_0,0.4,0.04,0.62,0,OmeOm0v,1,31
0.32,0.7,0.03,3,NX_UN_0,0.79,0.59,0.31,0,OmeOm0v,1,31
0.82,0.1,-1,4,DX_DX_0,0.06,0.07,0.89,0,OmeOm0v,1,31
-1,-1,-1,5,ND_DX_1,1,0,0,0,OmeOm0v,1,31
-1,-1,-1,6,ND_PX_1,0.35,0.85,0,0,OmeOm0v,1,31
1,0,-1,7,DX_UN_0,0.14,0.23,0.88,0,OmeOm0v,1,31
0.46,0.81,0,8,PX_NX_0,0.71,0.68,0.12,0,OmeOm0v,1,31
0.78,0.49,0.03,9,PX_UN_0,0.52,0.83,0.23,3,OmeOm0v,1,31
0.57,0.87,-1,10,UN_PX_0,0.82,0,0.81,0,OmeOm0v,1,31
-1,-1,-1,11,ND_DX_0,1,0,0.15,0,OmeOm0v,1,31
-1,-1,-1,12,ND_UN_0,0.27,0.25,0.68,0,OmeOm0v,1,31
0,0.48,0.64,13,NX_NX_0,0.7,0.58,0.16,0,OmeOm0v,1,31
-1,-1,-1,14,ND_NX_1,0.79,0,0.23,0,OmeOm0v,1,31
0.83,0.22,-1,15,UN_DX_0,0.01,0,0.86,0,OmeOm0v,1,31
-1,-1,-1,16,ND_PX_0,0.92,0,0.12,0,OmeOm0v,1,31
0.52,0.51,-1,17,UN_UN_0,0.5,0.76,0.19,0,OmeOm0v,1,31
-1,-1,-1,18,ND_NX_0,0.78,0,0.78,0,OmeOm0v,1,31
0,1,-1,19,DX_PX_0,0.66,0.91,0,0,OmeOm0v,1,31
0.62,0.25,0.84,20,PX_DX_0,0,0,1,0,OmeOm0v,1,31
0.85,0.22,-1,21,UN_NX_0,0,0.32,0.89,0,OmeOm0v,1,31
0.76,0.33,-1,22,DX_NX_0,0.85,0.08,0.42,1,OmeOm0v,1,31
0.48,0.5,0.71,23,PX_PX_0,0.53,0.82,0.45,0,OmeOm0v,1,31
0.2,0.73,-1,1,UN_NX_0,0.15,0.98,0.24,0,XP7Mbjm,1,32
0.11,0.9,0.39,2,NX_NX_0,0.93,0.04,0,0,XP7Mbjm,1,32
0.01,0.27,0.91,3,NX_PX_0,0.03,0.02,0.98,0,XP7Mbjm,1,32
-1,-1,-1,4,ND_DX_1,0.95,0.51,0.03,0,XP7Mbjm,1,32
0.07,0.83,-1,5,DX_DX_0,0.05,0.12,0.95,0,XP7Mbjm,1,32
0.8,0.12,-1,6,DX_UN_0,0.45,0.88,0.05,0,XP7Mbjm,1,32
0.95,0.05,0.5,7,NX_DX_0,0.05,0.28,0.95,0,XP7Mbjm,1,32
0.41,0.02,0.78,8,PX_PX_0,0.04,0.33,0.95,0,XP7Mbjm,1,32
0.88,0.43,-1,9,UN_UN_0,0.03,0.01,0.96,0,XP7Mbjm,1,32
0.92,0.08,0.04,10,PX_NX_0,0.33,0.77,0.03,0,XP7Mbjm,1,32
-1,-1,-1,11,ND_PX_1,1,0.5,0.03,0,XP7Mbjm,1,32
-1,-1,-1,12,ND_PX_0,0.95,0.41,0.01,0,XP7Mbjm,1,32
0.51,0.49,-1,13,UN_PX_0,0.98,0.48,0.05,0,XP7Mbjm,1,32
0.96,0.04,-1,14,DX_NX_0,0.03,0.91,0.51,3,XP7Mbjm,1,32
