1,2,3,trial_num,map,A,B,C,unique_id
-1,-1,-1,16,ND_NX_0,0.47,0,0.45,YYIVAeD
0.47,0.38,0,17,PX_UN_0,0.46,0,0.47,YYIVAeD
0.51,0.48,-1,18,UN_DX_0,0.04,0.02,1,YYIVAeD
0.17,0,0.83,19,PX_DX_0,0,0,1,YYIVAeD
0.99,0,-1,20,DX_NX_0,0.46,0,0.47,YYIVAeD
0.47,0.46,-1,21,UN_UN_0,0.48,0.48,0.48,YYIVAeD
-1,-1,-1,22,ND_UN_0,0.44,0.45,0.46,YYIVAeD
0.49,0.49,-1,23,UN_NX_0,0.47,0.47,0.47,YYIVAeD
0.49,0.49,-1,1,UN_DX_0,0.47,0.5,0.49,kbjqAtQ
0.05,0.27,0.54,2,PX_PX_0,0.69,0.18,0.72,kbjqAtQ
0.21,0.54,0.58,3,NX_NX_0,0.64,0.18,0.67,kbjqAtQ
0.11,0.73,-1,4,DX_UN_0,0.77,0.78,0.48,kbjqAtQ
0.59,0.4,0.38,5,PX_NX_0,0.64,0.64,0.21,kbjqAtQ
-1,-1,-1,6,ND_PX_0,0.9,0.07,0.08,kbjqAtQ
0.4,0.4,-1,7,UN_PX_0,0.83,0.09,0.87,kbjqAtQ
0.93,0,-1,8,DX_NX_0,0.64,0.05,0.66,kbjqAtQ
0.62,0.61,0.01,9,NX_UN_0,0.71,0,0.71,kbjqAtQ
0.61,0.58,0.6,10,NX_PX_0,0.65,0.01,0.76,kbjqAtQ
0,1,-1,11,DX_PX_0,0.67,0.69,0,kbjqAtQ
0.46,0.44,0,12,NX_DX_0,0,0.02,0.95,kbjqAtQ
-1,-1,-1,13,ND_NX_1,0.69,0,0.7,kbjqAtQ
0.77,0,0.78,14,PX_DX_0,0,0,0.81,kbjqAtQ
0.54,0.56,-1,15,UN_NX_0,0,0.69,0.76,kbjqAtQ
-1,-1,-1,16,ND_PX_1,0.51,0.54,0,kbjqAtQ
-1,-1,-1,17,ND_DX_0,0.97,0,0.03,kbjqAtQ
1,0,-1,18,DX_DX_0,0,0,1,kbjqAtQ
-1,-1,-1,19,ND_UN_0,0.64,0.62,0.38,kbjqAtQ
0.52,0.5,-1,20,UN_UN_0,0.58,0.59,0.59,kbjqAtQ
-1,-1,-1,21,ND_NX_0,0.51,0,0.51,kbjqAtQ
0.66,0.66,0,22,PX_UN_0,0.6,0.59,0.6,kbjqAtQ
-1,-1,-1,23,ND_DX_1,1,0,0.01,kbjqAtQ
0.48,0.47,0.48,1,NX_DX_0,0,0,1,sAhkor1
-1,-1,-1,2,ND_PX_1,0.47,0.47,0,sAhkor1
-1,-1,-1,3,ND_DX_1,1,0,0,sAhkor1
0.45,0.42,-1,4,DX_PX_0,0.47,0.48,0.47,sAhkor1
0,1,-1,5,DX_UN_0,0.48,0.47,0.48,sAhkor1
0.45,0.43,-1,6,UN_PX_0,0.64,0,0.3,sAhkor1
0.48,0.47,0,7,PX_NX_0,0.48,0.49,0,sAhkor1
0.46,0.47,-1,8,DX_DX_0,0,0,1,sAhkor1
0.44,0.44,0.43,9,PX_PX_0,0.23,0,0.69,sAhkor1
-1,-1,-1,10,ND_NX_1,0.47,0,0.49,sAhkor1
0.47,0.46,0.48,11,NX_PX_0,0.31,0,0.75,sAhkor1
0.49,0.49,-1,12,UN_UN_0,0.51,0.48,0.48,sAhkor1
-1,-1,-1,13,ND_NX_0,0.49,0,0.5,sAhkor1
0.47,0.47,-1,14,UN_NX_0,0,0.48,0.49,sAhkor1
0.43,0.43,-1,15,UN_DX_0,0,0,1,sAhkor1
0.45,0.43,0,16,NX_UN_0,0.47,0.1,0.47,sAhkor1
-1,-1,-1,17,ND_DX_0,1,0,0,sAhkor1
1,0,-1,18,DX_NX_0,0.46,0,0.47,sAhkor1
0,0.47,0.49,19,NX_NX_0,0.48,0,0.49,sAhkor1
0.42,0,0.45,20,PX_DX_0,0,0,0.52,sAhkor1
-1,-1,-1,21,ND_PX_0,0.46,0.47,0,sAhkor1
0.48,0.48,0,22,PX_UN_0,0.49,0.34,0.48,sAhkor1
-1,-1,-1,23,ND_UN_0,0.5,0.5,0.5,sAhkor1
