1,2,3,trial_num,map,A,B,C,unique_id
1,1,0,18,NX_PX_0,0.99,0,0,beAL0CO
-1,-1,-1,19,ND_NX_0,1,0,1,beAL0CO
-1,-1,-1,20,ND_NX_1,1,0,0,beAL0CO
1,0,-1,21,DX_DX_0,0,0,1,beAL0CO
1,1,-1,22,UN_PX_0,1,0,1,beAL0CO
1,1,-1,23,UN_UN_0,1,1,1,beAL0CO
0.79,0.17,-1,1,UN_PX_0,1,0,0,WF4BLFp
1,0,-1,2,DX_DX_0,0,0,1,WF4BLFp
-1,-1,-1,3,ND_DX_1,1,0,0,WF4BLFp
1,0,0,4,PX_UN_0,1,0,0,WF4BLFp
-1,-1,-1,5,ND_DX_0,1,0,0,WF4BLFp
-1,-1,-1,6,ND_PX_0,1,0,0,WF4BLFp
1,0,-1,7,DX_PX_0,0,1,0,WF4BLFp
1,0,0,8,PX_NX_0,0.57,0.56,0,WF4BLFp
-1,-1,-1,9,ND_NX_1,1,0,0,WF4BLFp
0.43,0.46,-1,10,UN_UN_0,0.51,0.53,0,WF4BLFp
-1,-1,-1,11,ND_PX_1,0.49,0.48,0,WF4BLFp
-1,-1,-1,12,ND_NX_0,0.49,0,0.48,WF4BLFp
0,1,0,13,PX_PX_0,0,0,1,WF4BLFp
0,0,1,14,PX_DX_0,0,0,1,WF4BLFp
1,0,0,15,NX_UN_0,0,0,1,WF4BLFp
0,1,-1,16,UN_NX_0,0,1,0,WF4BLFp
1,0,-1,17,DX_NX_0,0,0,1,WF4BLFp
0.43,0.46,0,18,NX_DX_0,0,0,0.95,WF4BLFp
1,0,-1,19,UN_DX_0,0,0,1,WF4BLFp
1,0,0,20,NX_PX_0,0,0,1,WF4BLFp
-1,-1,-1,21,ND_UN_0,0.48,0,0.45,WF4BLFp
0,1,0,22,NX_NX_0,0.46,0,0.48,WF4BLFp
0,1,-1,23,DX_UN_0,0.44,0,0.49,WF4BLFp
-1,-1,-1,1,ND_UN_0,0.55,0.53,0.4,rWkP1Zg
0.87,0.1,-1,2,DX_DX_0,0.06,0.02,0.89,rWkP1Zg
0.5,0.49,-1,3,UN_DX_0,0,0,1,rWkP1Zg
-1,-1,-1,4,ND_NX_0,0.47,0.03,0.48,rWkP1Zg
-1,-1,-1,5,ND_DX_0,0.98,0,0.02,rWkP1Zg
-1,-1,-1,6,ND_PX_0,0.48,0,0.41,rWkP1Zg
-1,-1,-1,7,ND_NX_1,0.49,0,0.49,rWkP1Zg
0.51,0.51,0,8,NX_UN_0,0.44,0.31,0.44,rWkP1Zg
1,0,-1,9,DX_NX_0,0.49,0,0.5,rWkP1Zg
0.49,0.49,0,10,NX_DX_0,0,0,1,rWkP1Zg
-1,-1,-1,11,ND_DX_1,1,0,0,rWkP1Zg
0,1,-1,12,DX_PX_0,0.49,0.5,0,rWkP1Zg
0.47,0.47,-1,13,UN_UN_0,0.33,0.33,0.33,rWkP1Zg
0.49,0.49,0,14,NX_PX_0,0.5,0,0.51,rWkP1Zg
0.47,0.47,0,15,PX_PX_0,0.45,0,0.63,rWkP1Zg
0,1,-1,16,DX_UN_0,0.33,0.34,0.34,rWkP1Zg
0.51,0.49,0,17,PX_NX_0,0.49,0.49,0,rWkP1Zg
0.46,0.45,-1,18,UN_NX_0,0,0.5,0.49,rWkP1Zg
0,0.49,0.49,19,NX_NX_0,0.47,0,0.47,rWkP1Zg
-1,-1,-1,20,ND_PX_1,0.45,0.51,0,rWkP1Zg
0.47,0.47,0,21,PX_UN_0,0.39,0.28,0.39,rWkP1Zg
0.49,0.49,-1,22,UN_PX_0,0.5,0,0.5,rWkP1Zg
0.47,0.06,0.48,23,PX_DX_0,0,0,1,rWkP1Zg
0.32,0.81,-1,1,DX_DX_0,0,0,0.81,Zpb5Vcl
0.03,0.03,0.7,2,NX_PX_0,0.51,0,0.52,Zpb5Vcl
-1,-1,-1,3,ND_DX_0,0.81,0,0,Zpb5Vcl
0.83,0.01,0.33,4,PX_NX_0,0.01,0.49,0.49,Zpb5Vcl
-1,-1,-1,5,ND_DX_1,0.09,0.87,0,Zpb5Vcl
0.12,0.77,-1,6,DX_UN_0,0.15,0,0.74,Zpb5Vcl
-1,-1,-1,7,ND_PX_1,0.81,0.36,0.51,Zpb5Vcl
-1,-1,-1,8,ND_NX_1,0.45,0.84,0.43,Zpb5Vcl
0.92,0,0,9,PX_UN_0,0.1,0.87,0,Zpb5Vcl
0,0.62,0.48,10,NX_NX_0,0.45,0.04,0.72,Zpb5Vcl
0.78,0.36,-1,11,UN_PX_0,0.47,0,0.47,Zpb5Vcl
-1,-1,-1,12,ND_UN_0,0.61,0.12,0.61,Zpb5Vcl
-1,-1,-1,13,ND_NX_0,0.47,0.14,0.46,Zpb5Vcl
0,0.3,0.8,14,PX_PX_0,0.43,0.17,0.45,Zpb5Vcl
0.48,0.84,-1,15,UN_NX_0,0.01,0.81,0.7,Zpb5Vcl
0.47,0.47,-1,16,DX_NX_0,0.04,0.47,0.56,Zpb5Vcl
0.12,0.19,0.82,17,NX_DX_0,0.4,0.29,0.71,Zpb5Vcl
0.5,0.5,-1,18,UN_UN_0,0.47,0.47,0.48,Zpb5Vcl
0.19,0,0.84,19,PX_DX_0,0.12,0,0.84,Zpb5Vcl
-1,-1,-1,20,ND_PX_0,0.43,0.41,0,Zpb5Vcl
0.78,0.13,-1,21,DX_PX_0,0.26,0.8,0,Zpb5Vcl
0.82,0.23,0,22,NX_UN_0,0.25,0.83,0,Zpb5Vcl
0.88,0.3,-1,23,UN_DX_0,0.17,0,0.71,Zpb5Vcl
0.81,0.4,0.84,1,NX_DX_0,0.02,0.03,0.96,cKQQgq9
-1,-1,-1,2,ND_PX_0,0.99,0.04,0.02,cKQQgq9
-1,-1,-1,3,ND_NX_1,0.82,0.73,0.1,cKQQgq9
-1,-1,-1,4,ND_DX_1,0.9,0.1,0.01,cKQQgq9
0.84,0.46,-1,5,DX_PX_0,0.44,0.45,0.57,cKQQgq9
-1,-1,-1,6,ND_UN_0,0.43,0.43,0.28,cKQQgq9
0.51,0.49,-1,7,DX_DX_0,0.24,0.24,0.82,cKQQgq9
0.76,0.44,0.01,8,PX_UN_0,0.4,0.66,0.4,cKQQgq9
0.37,0.37,0.12,9,PX_PX_0,0.62,0.31,0.72,cKQQgq9
0.16,0.65,0.43,10,NX_NX_0,0.46,0.21,0.56,cKQQgq9
0.74,0.37,0.61,11,NX_PX_0,0.61,0.37,0.58,cKQQgq9
0.46,0.44,0.77,12,PX_DX_0,0.49,0.49,0.77,cKQQgq9
0.5,0.49,-1,13,UN_NX_0,0.44,0.45,0.44,cKQQgq9
0.48,0.48,-1,14,DX_NX_0,0.61,0.26,0.67,cKQQgq9
-1,-1,-1,15,ND_DX_0,0.96,0.03,0.02,cKQQgq9
0.52,0.51,0.02,16,NX_UN_0,0.56,0.56,0.58,cKQQgq9
0.48,0.47,-1,17,UN_UN_0,0.61,0.62,0.49,cKQQgq9
0.68,0.26,0.41,18,PX_NX_0,0.76,0.75,0.03,cKQQgq9
-1,-1,-1,19,ND_NX_0,0.24,0.23,0.82,cKQQgq9
0.53,0.52,-1,20,UN_PX_0,0.62,0.02,0.8,cKQQgq9
-1,-1,-1,21,ND_PX_1,0.69,0.68,0.03,cKQQgq9
0.03,0.97,-1,22,DX_UN_0,0.46,0.46,0.67,cKQQgq9
0.49,0.5,-1,23,UN_DX_0,0.01,0.03,0.96,cKQQgq9
