participant,map,bayes_factor
5,DX_UN_0,2578.123942371922
5,NX_PX_0,3904.2553375685998
5,UN_PX_0,32050.663100980702
5,PX_DX_0,83.29116910196984
5,NX_UN_0,140.1693908329312
5,ND_PX_0,275.3668327106134
5,UN_UN_0,10967.315561619018
6,ND_NX_0,2213.0369544006444
6,DX_DX_0,282.944250670616
6,PX_NX_0,8806.37756146498
6,DX_NX_0,84933.16971303849
6,NX_NX_0,1119.0122093937548
6,UN_PX_0,15678.993206780959
6,ND_DX_0,135.91646126728162
6,DX_UN_0,2363.5524793916093
6,PX_DX_0,77.47560670559734
6,DX_PX_0,466.71980869433787
6,NX_DX_0,5421.238037646228
6,ND_UN_0,748.9477687624111
6,PX_UN_0,64222.072326500565
6,ND_DX_1,90.55867201517077
6,ND_PX_1,66267.00185419801
6,NX_PX_0,943.4634181201932
6,UN_NX_0,5736.442035497854
6,ND_NX_1,20.55008851000722
6,UN_DX_0,2041.6350617621677
6,PX_PX_0,21565.407639460143
6,UN_UN_0,2863.082142603975
6,ND_PX_0,267.3446041702692
6,NX_UN_0,139.08728540280944
7,ND_NX_0,2248.9157735060253
7,DX_DX_0,304.5506953362139
7,PX_NX_0,9003.877938636168
7,DX_NX_0,80279.75165132736
7,NX_NX_0,1032.836970077313
7,UN_PX_0,16120.329068952587
7,ND_DX_0,155.02954485051845
7,DX_UN_0,2463.440133256912
7,PX_DX_0,77.8266137016065
7,DX_PX_0,452.25648742475397
7,NX_DX_0,5409.361850837775
7,ND_UN_0,765.3688341410576
7,PX_UN_0,61223.41931473676
7,ND_DX_1,94.09412384764596
7,ND_PX_1,62548.42316002016
7,NX_PX_0,891.8816284943563
7,UN_NX_0,6399.22428028177
7,ND_NX_1,21.460589002618015
7,UN_DX_0,1993.801282696126
7,PX_PX_0,21826.751361672927
7,UN_UN_0,2699.6832562369395
7,ND_PX_0,248.3681192863802
7,NX_UN_0,155.5268684043408
8,DX_PX_0,5203.693421530138
8,ND_NX_0,4563.899806672581
8,ND_PX_0,271.4962668218082
8,NX_PX_0,4449.614409818112
8,NX_DX_0,5409.11693450969
8,ND_DX_1,539.9514041122809
8,UN_PX_0,7976.051202815737
8,PX_DX_0,76.60787202919734
8,NX_NX_0,952.1368152287627
8,UN_DX_0,7697.682368380503
8,ND_NX_1,69.82960097040868
8,DX_NX_0,75263.84185903551
8,PX_NX_0,170960.1887195734
8,DX_UN_0,6575.724822383536
8,NX_UN_0,97425.87888995388
8,ND_DX_0,2295.6695279711957
8,ND_UN_0,22420.793498379368
8,PX_UN_0,60618.46257872472
8,UN_UN_0,5685.093090850599
8,UN_NX_0,94961.93776375208
8,DX_DX_0,305.59776222251634
8,ND_PX_1,58876.54074190611
8,PX_PX_0,22880.914432745805
9,DX_PX_0,4945.028180382886
9,ND_NX_0,4393.767347245792
9,ND_PX_0,240.35215959728947
9,NX_PX_0,4434.367947107947
9,NX_DX_0,5292.000510101903
9,ND_DX_1,580.1362569685806
9,UN_PX_0,8114.784046537506
9,PX_DX_0,77.58199226688222
9,NX_NX_0,1008.991199073054
9,UN_DX_0,7673.907859486933
9,ND_NX_1,68.49055376042698
9,DX_NX_0,67489.19686024798
9,PX_NX_0,141408.86167116382
9,DX_UN_0,6185.390566035369
9,NX_UN_0,97207.45803691063
9,ND_DX_0,2239.7473206766285
9,ND_UN_0,22777.170330417146
9,PX_UN_0,62064.06799874361
9,UN_UN_0,5365.813895838967
9,UN_NX_0,96310.67446233713
9,DX_DX_0,294.89245786285574
9,ND_PX_1,60879.72340578986
9,PX_PX_0,23553.543576978347
