participant,map,bayes_factor
13,PX_UN_0,74085.62118887225
13,UN_NX_0,90594.29074602557
13,DX_DX_0,5438.384458982464
13,UN_UN_0,11275.668982477648
13,DX_UN_0,9393.074304049704
13,ND_NX_0,4536.637003591047
13,UN_DX_0,7950.200206929724
13,ND_DX_0,252.84459996531265
13,NX_DX_0,5120.943836748179
13,ND_DX_1,97.60476156464301
13,UN_PX_0,7450.967873477265
13,DX_NX_0,19245.112717775366
14,UN_DX_0,8557.90414466393
14,PX_UN_0,70827.3898485982
14,ND_PX_1,7417.355268762739
14,UN_NX_0,102302.17269776681
14,PX_PX_0,14772.625372115555
14,DX_DX_0,2473.2735311590864
14,PX_DX_0,75.30539741776896
14,UN_UN_0,1279.407960393757
14,ND_NX_0,4647.15356238513
14,DX_UN_0,9640.52750776028
14,ND_PX_0,1076.6179367739019
14,NX_NX_0,1080.4394613602594
14,NX_UN_0,1645094.0197271432
14,NX_PX_0,3561.063569726358
14,ND_DX_1,554.3194710860236
14,DX_NX_0,37179.41092060506
14,DX_PX_0,2812.8468203140533
14,ND_DX_0,278.2398800495747
14,ND_NX_1,4168.123698414317
14,PX_NX_0,9855.160428726584
14,NX_DX_0,5062.447455323655
14,UN_PX_0,7400.3243851689
14,ND_UN_0,695.6633391727843
15,UN_UN_0,10512.056122365628
15,DX_NX_0,2921.6095823802198
15,UN_PX_0,7628.2877242554405
15,PX_NX_0,183456.71118444332
15,DX_UN_0,10072.187654741192
15,ND_UN_0,719.8793139680578
15,NX_NX_0,965.9193424877672
15,DX_DX_0,312.8822084556523
15,ND_PX_1,7915.618365671715
15,ND_NX_1,69.30071793882125
15,PX_UN_0,71730.98519349075
15,ND_PX_0,280.1032493361892
15,ND_NX_0,4589.857703114702
15,NX_UN_0,149.84410896438445
15,UN_DX_0,7432.848584657215
15,NX_DX_0,5406.0301742747015
15,DX_PX_0,5367.235187804976
15,PX_DX_0,78.51738651930359
15,UN_NX_0,99415.09296767587
15,ND_DX_0,275.63047531022136
15,ND_DX_1,510.0053645504546
15,NX_PX_0,3862.8349701432116
15,PX_PX_0,92216.7783117567
16,ND_PX_1,66340.79807630565
16,NX_UN_0,147.82174162425505
16,NX_PX_0,132.23065682812992
16,UN_UN_0,5193.278938141197
16,ND_NX_1,20.954829090223228
16,PX_UN_0,14982.993933402007
16,DX_PX_0,18048.375592983048
16,ND_DX_1,96.23103065404041
16,UN_PX_0,27980.111321184173
16,NX_DX_0,639.101222047486
16,DX_UN_0,9629.888511531146
16,PX_PX_0,8.478110967688442
16,UN_NX_0,96150.60213132601
16,UN_DX_0,1916.1381979721277
16,DX_NX_0,3454.8443922430815
16,ND_DX_0,277.02795416424647
16,PX_NX_0,10233.149900154998
16,NX_NX_0,600.5949139407899
16,ND_NX_0,4610.0808415402435
16,DX_DX_0,136.13219288935704
16,ND_UN_0,772.2538057804933
16,PX_DX_0,79.04797971296293
16,ND_PX_0,1047.0662809179094
17,DX_NX_0,19439.875009088577
17,ND_NX_0,4566.036656709248
17,NX_DX_0,5240.155609822033
17,UN_DX_0,7803.037396125442
17,ND_DX_1,527.8830410725964
17,UN_PX_0,7581.82337278848
17,ND_UN_0,801.7733007811028
17,DX_UN_0,11318.595871500753
17,DX_DX_0,304.1964042333402
17,PX_UN_0,60528.46777712039
17,NX_PX_0,3411.627267568959
